model_type,normalization_strategy,stopword_removal_strategy,vectorizer,max_features,ngram_range,vocab_size,training_accuracy,test_accuracy,processing_duration,report_training_data,report_test_data
LogisticRegression,none,wo-stopwords-custom,HashingVectorizer,ALL_FEATURES,UNIGRAMS,300000,0.789584375,0.8328690807799443,360.0276518575847,"{'0': {'f1-score': 0.7858208456725524, 'precision': 0.7975181265858745, 'recall': 0.7744617352376892, 'support': 159494.0}, '4': {'f1-score': 0.7932179237953093, 'precision': 0.7821423596601198, 'recall': 0.8046116656075162, 'support': 160506.0}, 'accuracy': 0.789584375, 'macro avg': {'f1-score': 0.7895193847339308, 'precision': 0.7898302431229971, 'recall': 0.7895367004226027, 'support': 320000.0}, 'weighted avg': {'f1-score': 0.7895310813637125, 'precision': 0.7898059301915459, 'recall': 0.789584375, 'support': 320000.0}}","{'0': {'f1-score': 0.8265895953757225, 'precision': 0.8461538461538461, 'recall': 0.807909604519774, 'support': 177.0}, '4': {'f1-score': 0.8387096774193549, 'precision': 0.8210526315789474, 'recall': 0.8571428571428571, 'support': 182.0}, 'accuracy': 0.8328690807799443, 'macro avg': {'f1-score': 0.8326496363975386, 'precision': 0.8336032388663968, 'recall': 0.8325262308313155, 'support': 359.0}, 'weighted avg': {'f1-score': 0.8327340380830794, 'precision': 0.8334284393220034, 'recall': 0.8328690807799443, 'support': 359.0}}"
LogisticRegression,none,w-stopwords,HashingVectorizer,50000,UNI_AND_BIGRAMS,50000,0.796828125,0.7827298050139275,405.9547608681023,"{'0': {'f1-score': 0.7939936057693832, 'precision': 0.8026175025463956, 'recall': 0.7855530615571745, 'support': 159494.0}, '4': {'f1-score': 0.7995857005021532, 'precision': 0.7913140569992129, 'recall': 0.80803209848853, 'support': 160506.0}, 'accuracy': 0.796828125, 'macro avg': {'f1-score': 0.7967896531357681, 'precision': 0.7969657797728043, 'recall': 0.7967925800228522, 'support': 320000.0}, 'weighted avg': {'f1-score': 0.7967984956355644, 'precision': 0.7969479061995327, 'recall': 0.796828125, 'support': 320000.0}}","{'0': {'f1-score': 0.7621951219512195, 'precision': 0.8278145695364238, 'recall': 0.7062146892655368, 'support': 177.0}, '4': {'f1-score': 0.8, 'precision': 0.75, 'recall': 0.8571428571428571, 'support': 182.0}, 'accuracy': 0.7827298050139275, 'macro avg': {'f1-score': 0.7810975609756098, 'precision': 0.7889072847682119, 'recall': 0.781678773204197, 'support': 359.0}, 'weighted avg': {'f1-score': 0.7813608261430803, 'precision': 0.7883654005792397, 'recall': 0.7827298050139275, 'support': 359.0}}"
LogisticRegression,none,w-stopwords,HashingVectorizer,250000,UNI_AND_BIGRAMS,250000,0.80766875,0.8022284122562674,437.44979134760797,"{'0': {'f1-score': 0.8044880143840099, 'precision': 0.8153509336767547, 'recall': 0.7939107427238642, 'support': 159494.0}, '4': {'f1-score': 0.8107476491823644, 'precision': 0.8004250151791136, 'recall': 0.8213400122113815, 'support': 160506.0}, 'accuracy': 0.80766875, 'macro avg': {'f1-score': 0.8076178317831871, 'precision': 0.8078879744279341, 'recall': 0.8076253774676229, 'support': 320000.0}, 'weighted avg': {'f1-score': 0.8076277298307121, 'precision': 0.8078643728193098, 'recall': 0.80766875, 'support': 320000.0}}","{'0': {'f1-score': 0.78419452887538, 'precision': 0.8486842105263158, 'recall': 0.7288135593220338, 'support': 177.0}, '4': {'f1-score': 0.8174807197943444, 'precision': 0.7681159420289855, 'recall': 0.8736263736263736, 'support': 182.0}, 'accuracy': 0.8022284122562674, 'macro avg': {'f1-score': 0.8008376243348623, 'precision': 0.8084000762776506, 'recall': 0.8012199664742037, 'support': 359.0}, 'weighted avg': {'f1-score': 0.801069422321763, 'precision': 0.8078390159120703, 'recall': 0.8022284122562674, 'support': 359.0}}"
LogisticRegression,lemmatizer,w-stopwords,HashingVectorizer,10000,UNIGRAMS,10000,0.776228125,0.7827298050139275,445.73623508401215,"{'0': {'f1-score': 0.7735897379146365, 'precision': 0.7802930276762535, 'recall': 0.7670006395224899, 'support': 159494.0}, '4': {'f1-score': 0.7788057294836113, 'precision': 0.7723237533925978, 'recall': 0.7853974306256464, 'support': 160506.0}, 'accuracy': 0.776228125, 'macro avg': {'f1-score': 0.7761977336991239, 'precision': 0.7763083905344257, 'recall': 0.7761990350740682, 'support': 320000.0}, 'weighted avg': {'f1-score': 0.7762059814857923, 'precision': 0.7762957891194646, 'recall': 0.776228125, 'support': 320000.0}}","{'0': {'f1-score': 0.7719298245614035, 'precision': 0.8, 'recall': 0.7457627118644068, 'support': 177.0}, '4': {'f1-score': 0.7925531914893617, 'precision': 0.7680412371134021, 'recall': 0.8186813186813187, 'support': 182.0}, 'accuracy': 0.7827298050139275, 'macro avg': {'f1-score': 0.7822415080253826, 'precision': 0.7840206185567011, 'recall': 0.7822220152728627, 'support': 359.0}, 'weighted avg': {'f1-score': 0.7823851247867193, 'precision': 0.7837980644976021, 'recall': 0.7827298050139275, 'support': 359.0}}"
LogisticRegression,porter,wo-stopwords-nltk,HashingVectorizer,50000,UNI_AND_BI_AND_TRIGRAMS,50000,0.7667875,0.7771587743732591,450.5513788443059,"{'0': {'f1-score': 0.7621433488870191, 'precision': 0.7750781158837792, 'recall': 0.7496332150425722, 'support': 159494.0}, '4': {'f1-score': 0.7712537701380545, 'precision': 0.7590713277262251, 'recall': 0.7838336261572776, 'support': 160506.0}, 'accuracy': 0.7667875, 'macro avg': {'f1-score': 0.7666985595125368, 'precision': 0.7670747218050021, 'recall': 0.7667334205999249, 'support': 320000.0}, 'weighted avg': {'f1-score': 0.76671296536614, 'precision': 0.767049411071228, 'recall': 0.7667875, 'support': 320000.0}}","{'0': {'f1-score': 0.7660818713450293, 'precision': 0.793939393939394, 'recall': 0.7401129943502824, 'support': 177.0}, '4': {'f1-score': 0.7872340425531915, 'precision': 0.7628865979381443, 'recall': 0.8131868131868132, 'support': 182.0}, 'accuracy': 0.7771587743732591, 'macro avg': {'f1-score': 0.7766579569491103, 'precision': 0.7784129959387691, 'recall': 0.7766499037685478, 'support': 359.0}, 'weighted avg': {'f1-score': 0.7768052561915071, 'precision': 0.7781967508412675, 'recall': 0.7771587743732591, 'support': 359.0}}"
LogisticRegression,lemmatizer,wo-stopwords-nltk,HashingVectorizer,50000,UNI_AND_BI_AND_TRIGRAMS,50000,0.763321875,0.7771587743732591,450.50213725306094,"{'0': {'f1-score': 0.7588400683960987, 'precision': 0.770954781022134, 'recall': 0.7471002043964037, 'support': 159494.0}, '4': {'f1-score': 0.7676401378138163, 'precision': 0.7561910288259863, 'recall': 0.7794412669931342, 'support': 160506.0}, 'accuracy': 0.763321875, 'macro avg': {'f1-score': 0.7632401031049576, 'precision': 0.7635729049240602, 'recall': 0.763270735694769, 'support': 320000.0}, 'weighted avg': {'f1-score': 0.7632540182147244, 'precision': 0.7635495597409001, 'recall': 0.763321875, 'support': 320000.0}}","{'0': {'f1-score': 0.7674418604651163, 'precision': 0.7904191616766467, 'recall': 0.7457627118644068, 'support': 177.0}, '4': {'f1-score': 0.786096256684492, 'precision': 0.765625, 'recall': 0.8076923076923077, 'support': 182.0}, 'accuracy': 0.7771587743732591, 'macro avg': {'f1-score': 0.7767690585748042, 'precision': 0.7780220808383234, 'recall': 0.7767275097783573, 'support': 359.0}, 'weighted avg': {'f1-score': 0.7768989638409557, 'precision': 0.7778494195453105, 'recall': 0.7771587743732591, 'support': 359.0}}"
LogisticRegression,none,wo-stopwords-custom,HashingVectorizer,50000,UNI_AND_BIGRAMS,50000,0.784865625,0.8245125348189415,480.57079198397696,"{'0': {'f1-score': 0.7807191613924555, 'precision': 0.7934544041953967, 'recall': 0.7683862715838841, 'support': 159494.0}, '4': {'f1-score': 0.7888581847625065, 'precision': 0.7768522154097073, 'recall': 0.8012410750999963, 'support': 160506.0}, 'accuracy': 0.784865625, 'macro avg': {'f1-score': 0.7847886730774809, 'precision': 0.785153309802552, 'recall': 0.7848136733419402, 'support': 320000.0}, 'weighted avg': {'f1-score': 0.7848015429081848, 'precision': 0.7851270575915346, 'recall': 0.784865625, 'support': 320000.0}}","{'0': {'f1-score': 0.8119402985074626, 'precision': 0.8607594936708861, 'recall': 0.768361581920904, 'support': 177.0}, '4': {'f1-score': 0.835509138381201, 'precision': 0.7960199004975125, 'recall': 0.8791208791208791, 'support': 182.0}, 'accuracy': 0.8245125348189415, 'macro avg': {'f1-score': 0.8237247184443318, 'precision': 0.8283896970841993, 'recall': 0.8237412305208915, 'support': 359.0}, 'weighted avg': {'f1-score': 0.8238888468557088, 'precision': 0.8279388642626576, 'recall': 0.8245125348189415, 'support': 359.0}}"
LogisticRegression,none,w-stopwords,TfidfVectorizer,50000,UNIGRAMS,50000,0.79593125,0.8189415041782729,483.4330470263958,"{'0': {'f1-score': 0.7920530391807205, 'precision': 0.8047535234052466, 'recall': 0.7797472005216497, 'support': 159494.0}, '4': {'f1-score': 0.7996674520198301, 'precision': 0.7876914336826583, 'recall': 0.8120132580713494, 'support': 160506.0}, 'accuracy': 0.79593125, 'macro avg': {'f1-score': 0.7958602456002752, 'precision': 0.7962224785439524, 'recall': 0.7958802292964995, 'support': 320000.0}, 'weighted avg': {'f1-score': 0.7958722858905771, 'precision': 0.7961954991145787, 'recall': 0.79593125, 'support': 320000.0}}","{'0': {'f1-score': 0.8104956268221575, 'precision': 0.8373493975903614, 'recall': 0.7853107344632768, 'support': 177.0}, '4': {'f1-score': 0.8266666666666667, 'precision': 0.8031088082901554, 'recall': 0.8516483516483516, 'support': 182.0}, 'accuracy': 0.8189415041782729, 'macro avg': {'f1-score': 0.8185811467444121, 'precision': 0.8202291029402584, 'recall': 0.8184795430558143, 'support': 359.0}, 'weighted avg': {'f1-score': 0.8186937584424935, 'precision': 0.8199906587250759, 'recall': 0.8189415041782729, 'support': 359.0}}"
LogisticRegression,lemmatizer,wo-stopwords-nltk,HashingVectorizer,250000,UNI_AND_BI_AND_TRIGRAMS,250000,0.780459375,0.7910863509749304,536.0216241348535,"{'0': {'f1-score': 0.7747846520290956, 'precision': 0.7927028463097683, 'recall': 0.7576585953076604, 'support': 159494.0}, '4': {'f1-score': 0.7858551558694519, 'precision': 0.7693202910054489, 'recall': 0.8031163944027014, 'support': 160506.0}, 'accuracy': 0.780459375, 'macro avg': {'f1-score': 0.7803199039492738, 'precision': 0.7810115686576086, 'recall': 0.780387494855181, 'support': 320000.0}, 'weighted avg': {'f1-score': 0.7803374091834713, 'precision': 0.7809745949920336, 'recall': 0.780459375, 'support': 320000.0}}","{'0': {'f1-score': 0.7813411078717201, 'precision': 0.8072289156626506, 'recall': 0.7570621468926554, 'support': 177.0}, '4': {'f1-score': 0.8, 'precision': 0.7772020725388601, 'recall': 0.8241758241758241, 'support': 182.0}, 'accuracy': 0.7910863509749304, 'macro avg': {'f1-score': 0.79067055393586, 'precision': 0.7922154941007553, 'recall': 0.7906189855342398, 'support': 359.0}, 'weighted avg': {'f1-score': 0.7908004905105694, 'precision': 0.7920063935218988, 'recall': 0.7910863509749304, 'support': 359.0}}"
LogisticRegression,lemmatizer,wo-stopwords-nltk,HashingVectorizer,10000,UNIGRAMS,10000,0.756334375,0.7855153203342619,220.8979414794594,"{'0': {'f1-score': 0.7510257777550714, 'precision': 0.7652245206041006, 'recall': 0.7373443515116556, 'support': 159494.0}, '4': {'f1-score': 0.7614213197969543, 'precision': 0.748119554826025, 'recall': 0.775204665246159, 'support': 160506.0}, 'accuracy': 0.756334375, 'macro avg': {'f1-score': 0.7562235487760128, 'precision': 0.7566720377150629, 'recall': 0.7562745083789073, 'support': 320000.0}, 'weighted avg': {'f1-score': 0.7562399867268664, 'precision': 0.7566449904879262, 'recall': 0.756334375, 'support': 320000.0}}","{'0': {'f1-score': 0.7701492537313432, 'precision': 0.8164556962025317, 'recall': 0.7288135593220338, 'support': 177.0}, '4': {'f1-score': 0.7989556135770235, 'precision': 0.7611940298507462, 'recall': 0.8406593406593407, 'support': 182.0}, 'accuracy': 0.7855153203342619, 'macro avg': {'f1-score': 0.7845524336541834, 'precision': 0.788824863026639, 'recall': 0.7847364499906873, 'support': 359.0}, 'weighted avg': {'f1-score': 0.7847530350458665, 'precision': 0.7884400324810137, 'recall': 0.7855153203342619, 'support': 359.0}}"
