model_name,data_size,learning_rate,accuracy,f1
distilbert-base-uncased,,,0.5264623955431755,0.5248364995328558
distilbert-base-uncased,2500.0,0.0001,0.8245125348189415,0.8241632653061224
distilbert-base-uncased,2500.0,1e-05,0.83008356545961,0.8299516232984679
distilbert-base-uncased,2500.0,1e-06,0.5431754874651811,0.4754454739843193
distilbert-base-uncased,2500.0,2e-06,0.6713091922005571,0.6712862375069837
distilbert-base-uncased,2500.0,3e-06,0.713091922005571,0.7126549325873257
distilbert-base-uncased,2500.0,4e-06,0.7715877437325905,0.77157179216587
distilbert-base-uncased,2500.0,4.9999999999999996e-06,0.8050139275766016,0.8050003103854988
cardiffnlp/twitter-roberta-base-sentiment,,,0.83008356545961,0.5807085489712216
cardiffnlp/twitter-roberta-base-sentiment,2500.0,0.0001,0.8857938718662952,0.8857619620474213
cardiffnlp/twitter-roberta-base-sentiment,2500.0,1e-05,0.9108635097493036,0.9108572847476566
cardiffnlp/twitter-roberta-base-sentiment,2500.0,1e-06,0.9108635097493036,0.6089272846934449
cardiffnlp/twitter-roberta-base-sentiment,2500.0,2e-06,0.9192200557103064,0.9192100259961975
cardiffnlp/twitter-roberta-base-sentiment,2500.0,3e-06,0.9220055710306406,0.9220001241541995
cardiffnlp/twitter-roberta-base-sentiment,2500.0,4e-06,0.9192200557103064,0.9192100259961975
cardiffnlp/twitter-roberta-base-sentiment,2500.0,4.9999999999999996e-06,0.9192200557103064,0.9192100259961975
distilbert-base-uncased,5000.0,0.0001,0.83008356545961,0.8299516232984679
distilbert-base-uncased,5000.0,1e-05,0.8328690807799443,0.8326496363975386
distilbert-base-uncased,5000.0,1e-06,0.6713091922005571,0.6711024844720497
distilbert-base-uncased,5000.0,2e-06,0.7715877437325905,0.77157179216587
distilbert-base-uncased,5000.0,3e-06,0.8105849582172702,0.8104658385093167
distilbert-base-uncased,5000.0,4e-06,0.8245125348189415,0.8244253475861105
distilbert-base-uncased,5000.0,4.9999999999999996e-06,0.8272980501392758,0.8272323646299056
cardiffnlp/twitter-roberta-base-sentiment,5000.0,0.0001,0.8607242339832869,0.8602460292743694
cardiffnlp/twitter-roberta-base-sentiment,5000.0,1e-05,0.9080779944289693,0.9080665813060179
cardiffnlp/twitter-roberta-base-sentiment,5000.0,1e-06,0.9164345403899722,0.9164027570789866
cardiffnlp/twitter-roberta-base-sentiment,5000.0,2e-06,0.9220055710306406,0.9219904389395914
cardiffnlp/twitter-roberta-base-sentiment,5000.0,3e-06,0.924791086350975,0.9247700725678141
cardiffnlp/twitter-roberta-base-sentiment,5000.0,4e-06,0.9164345403899722,0.9164183274352766
cardiffnlp/twitter-roberta-base-sentiment,5000.0,4.9999999999999996e-06,0.9220055710306406,0.9219759066070541
distilbert-base-uncased,7500.0,0.0001,0.8440111420612814,0.8438063273043694
distilbert-base-uncased,7500.0,1e-05,0.8356545961002786,0.8350350864895597
distilbert-base-uncased,7500.0,1e-06,0.6963788300835655,0.6960392117262326
distilbert-base-uncased,7500.0,2e-06,0.8217270194986073,0.8215594905250078
distilbert-base-uncased,7500.0,3e-06,0.8328690807799443,0.8327120223671948
distilbert-base-uncased,7500.0,4e-06,0.8384401114206128,0.8382882882882883
distilbert-base-uncased,7500.0,4.9999999999999996e-06,0.841225626740947,0.8409837976454132
cardiffnlp/twitter-roberta-base-sentiment,7500.0,0.0001,0.8690807799442897,0.8686731890318413
cardiffnlp/twitter-roberta-base-sentiment,7500.0,1e-05,0.9025069637883009,0.9024585264367281
cardiffnlp/twitter-roberta-base-sentiment,7500.0,1e-06,0.9220055710306406,0.9219904389395914
cardiffnlp/twitter-roberta-base-sentiment,7500.0,2e-06,0.9164345403899722,0.9164287044509281
cardiffnlp/twitter-roberta-base-sentiment,7500.0,3e-06,0.9136490250696379,0.9136383036511078
cardiffnlp/twitter-roberta-base-sentiment,7500.0,4e-06,0.9164345403899722,0.9164027570789866
cardiffnlp/twitter-roberta-base-sentiment,7500.0,4.9999999999999996e-06,0.9136490250696379,0.9136061234153877
distilbert-base-uncased,10000.0,0.0001,0.8440111420612814,0.8435729847494553
distilbert-base-uncased,10000.0,1e-05,0.841225626740947,0.8407313143577649
distilbert-base-uncased,10000.0,1e-06,0.7604456824512534,0.7604289527593271
distilbert-base-uncased,10000.0,2e-06,0.8328690807799443,0.8326496363975386
