model_name,data_size,learning_rate,accuracy,f1
distilbert-base-uncased,untrained_eval,untrained_eval,0.5069637883008357,0.3364140480591497
distilbert-base-uncased,2500,0.001,0.49303621169916434,0.3302238805970149
distilbert-base-uncased,2500,0.0001,0.8217270194986073,0.8215594905250078
distilbert-base-uncased,2500,1e-05,0.8440111420612814,0.8439518132141084
distilbert-base-uncased,2500,1e-06,0.5654596100278552,0.5281092012133468
distilbert-base-uncased,5000,0.001,0.49303621169916434,0.3302238805970149
distilbert-base-uncased,5000,0.0001,0.8245125348189415,0.8245125348189415
distilbert-base-uncased,5000,1e-05,0.8356545961002786,0.8356341908198502
distilbert-base-uncased,5000,1e-06,0.6657381615598886,0.6656733097411063
distilbert-base-uncased,7500,0.001,0.49303621169916434,0.3302238805970149
distilbert-base-uncased,7500,0.0001,0.8133704735376045,0.8131617172996108
distilbert-base-uncased,7500,1e-05,0.8495821727019499,0.8495716680116705
distilbert-base-uncased,7500,1e-06,0.7158774373259053,0.7157693740685545
distilbert-base-uncased,10000,0.001,0.49303621169916434,0.3302238805970149
distilbert-base-uncased,10000,0.0001,0.841225626740947,0.8409096209912537
distilbert-base-uncased,10000,1e-05,0.8440111420612814,0.844009931719429
distilbert-base-uncased,10000,1e-06,0.7883008356545961,0.7882991930477964
cardiffnlp/twitter-roberta-base-sentiment,untrained_eval,untrained_eval,0.83008356545961,0.5807085489712216
cardiffnlp/twitter-roberta-base-sentiment,2500,0.001,0.49303621169916434,0.3302238805970149
cardiffnlp/twitter-roberta-base-sentiment,2500,0.0001,0.8885793871866295,0.8885370094386488
cardiffnlp/twitter-roberta-base-sentiment,2500,1e-05,0.9136490250696379,0.9136383036511078
cardiffnlp/twitter-roberta-base-sentiment,2500,1e-06,0.9164345403899722,0.9164027570789866
cardiffnlp/twitter-roberta-base-sentiment,5000,0.001,0.5069637883008357,0.3364140480591497
cardiffnlp/twitter-roberta-base-sentiment,5000,0.0001,0.8885793871866295,0.8884330909316924
cardiffnlp/twitter-roberta-base-sentiment,5000,1e-05,0.9192200557103064,0.919217548515251
cardiffnlp/twitter-roberta-base-sentiment,5000,1e-06,0.9220055710306406,0.9219904389395914
cardiffnlp/twitter-roberta-base-sentiment,7500,0.001,0.5069637883008357,0.3364140480591497
cardiffnlp/twitter-roberta-base-sentiment,7500,0.0001,0.8635097493036211,0.8633570768310587
cardiffnlp/twitter-roberta-base-sentiment,7500,1e-05,0.9136490250696379,0.9136248981334161
cardiffnlp/twitter-roberta-base-sentiment,7500,1e-06,0.9192200557103064,0.9191974853506151
cardiffnlp/twitter-roberta-base-sentiment,10000,0.001,0.49303621169916434,0.3302238805970149
cardiffnlp/twitter-roberta-base-sentiment,10000,0.0001,0.8662952646239555,0.8659197012138189
cardiffnlp/twitter-roberta-base-sentiment,10000,1e-05,0.8997214484679665,0.8997144453411137
cardiffnlp/twitter-roberta-base-sentiment,10000,1e-06,0.924791086350975,0.9247700725678141
